,main category id,venue main category
0,4bf58dd8d48988d1f8941735,Furniture / Home Store
1,4bf58dd8d48988d114951735,Bookstore
2,4bf58dd8d48988d1e2931735,Art Gallery
3,4bf58dd8d48988d10c941735,French Restaurant
4,5744ccdfe4b0c0459246b4e2,Pastry Shop
5,4bf58dd8d48988d11e941735,Cocktail Bar
6,4bf58dd8d48988d1dc931735,Tea Room
7,4bf58dd8d48988d16d941735,Café
8,4def73e84765ae376e57713a,Portuguese Restaurant
10,4bf58dd8d48988d1c9941735,Ice Cream Shop
12,4bf58dd8d48988d1ce941735,Seafood Restaurant
13,4bf58dd8d48988d1ff941735,Miscellaneous Shop
16,4bf58dd8d48988d1bc941735,Cupcake Shop
18,4bf58dd8d48988d10c951735,Cosmetics Shop
19,52e81612bcbc57f1066b79fd,Jewish Restaurant
20,4bf58dd8d48988d110941735,Italian Restaurant
21,4bf58dd8d48988d103951735,Clothing Store
22,4bf58dd8d48988d100951735,Pet Store
23,4bf58dd8d48988d107951735,Shoe Store
24,4bf58dd8d48988d1d8941735,Gay Bar
26,4bf58dd8d48988d121941735,Lounge
27,57558b35e4b065ecebd306ad,Lyonese Bouchon
28,4bf58dd8d48988d146941735,Deli / Bodega
30,4bf58dd8d48988d159941735,Trail
31,52e81612bcbc57f1066b79f1,Bistro
33,4bf58dd8d48988d11e951735,Cheese Shop
34,4bf58dd8d48988d163941735,Park
39,52e81612bcbc57f1066b79f2,Creperie
40,4bf58dd8d48988d110951735,Salon / Barbershop
41,4bf58dd8d48988d1fa931735,Hotel
44,4bf58dd8d48988d117951735,Candy Store
46,56aa371be4b08b9a8d5734c3,Waterfront
48,57558b36e4b065ecebd306b0,Brasserie
49,4bf58dd8d48988d1c4941735,Restaurant
50,4bf58dd8d48988d164941735,Plaza
53,4bf58dd8d48988d119951735,Wine Shop
57,4bf58dd8d48988d16a941735,Bakery
58,4bf58dd8d48988d143941735,Breakfast Spot
64,4bf58dd8d48988d113941735,Korean Restaurant
65,4bf58dd8d48988d1e0931735,Coffee Shop
67,4bf58dd8d48988d1bd941735,Salad Place
68,52af3b6e3cf9994f4e043c02,Shanxi Restaurant
69,4bf58dd8d48988d142941735,Asian Restaurant
70,4bf58dd8d48988d112941735,Juice Bar
71,4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant
72,4bf58dd8d48988d118941735,Dive Bar
74,4bf58dd8d48988d175941735,Gym / Fitness Center
75,4bf58dd8d48988d1c1941735,Mexican Restaurant
76,56aa371be4b08b9a8d573529,Israeli Restaurant
78,4bf58dd8d48988d181941735,Museum
82,4bf58dd8d48988d137941735,Theater
84,4bf58dd8d48988d16c941735,Burger Joint
88,4bf58dd8d48988d1ca941735,Pizza Place
93,4bf58dd8d48988d11b941735,Pub
94,52f2ab2ebcbc57f1066b8b35,Outlet Store
97,52f2ab2ebcbc57f1066b8b46,Supermarket
98,4bf58dd8d48988d1c7941735,Snack Place
102,4bf58dd8d48988d14a941735,Vietnamese Restaurant
105,4bf58dd8d48988d149941735,Thai Restaurant
106,4bf58dd8d48988d104951735,Boutique
112,4bf58dd8d48988d1f6941735,Department Store
116,4bf58dd8d48988d121951735,Paper / Office Supplies Store
125,52f2ab2ebcbc57f1066b8b23,Perfume Shop
126,4bf58dd8d48988d105951735,Kids Store
132,4bf58dd8d48988d111941735,Japanese Restaurant
135,4bf58dd8d48988d127951735,Arts & Crafts Store
136,4bf58dd8d48988d1d0941735,Dessert Shop
140,58daa1558bbb0b01f18ec1cd,Lebanese Restaurant
143,4bf58dd8d48988d10f951735,Pharmacy
144,4bf58dd8d48988d1c5941735,Sandwich Place
145,4bf58dd8d48988d14e941735,American Restaurant
147,4bf58dd8d48988d1cc941735,Steakhouse
153,4bf58dd8d48988d128951735,Gift Shop
156,4bf58dd8d48988d145941735,Chinese Restaurant
159,4bf58dd8d48988d1e7931735,Jazz Club
165,52f2ab2ebcbc57f1066b8b31,Chocolate Shop
167,4bf58dd8d48988d108951735,Women's Store
176,4bf58dd8d48988d1d5941735,Hotel Bar
184,4bf58dd8d48988d102951735,Accessories Store
192,52af3a7c3cf9994f4e043bed,Cantonese Restaurant
201,4bf58dd8d48988d111951735,Jewelry Store
206,4bf58dd8d48988d155941735,Gastropub
213,5032781d91d4c4b30a586d5b,Tailor Shop
218,5744ccdfe4b0c0459246b4dc,Shopping Plaza
221,52e81612bcbc57f1066b7a02,Belgian Restaurant
228,5370f356bcbc57f1066c94c2,Beer Store
229,57558b36e4b065ecebd306d7,Provençal Restaurant
239,4bf58dd8d48988d16b941735,Brazilian Restaurant
242,4deefb944765f83613cdba6e,Historic Site
252,4bf58dd8d48988d1db931735,Tapas Restaurant
255,4bf58dd8d48988d1fa941735,Farmers Market
264,4bf58dd8d48988d123941735,Wine Bar
266,4bf58dd8d48988d1d4941735,Speakeasy
277,4bf58dd8d48988d1c3941735,Moroccan Restaurant
282,4c2cd86ed066bed06c3c5209,Gluten-free Restaurant
319,4bf58dd8d48988d116941735,Bar
332,4bf58dd8d48988d10f941735,Indian Restaurant
339,57558b36e4b065ecebd306c5,Breton Restaurant
340,52e81612bcbc57f1066b79fe,Hawaiian Restaurant
344,4bf58dd8d48988d1f4941735,Design Studio
348,507c8c4091d498d9fc8c67a9,Public Art
355,4d954b0ea243a5684a65b473,Convenience Store
357,56aa371ce4b08b9a8d57356c,Beer Bar
364,52e81612bcbc57f1066b7a25,Pedestrian Plaza
369,4bf58dd8d48988d148941735,Donut Shop
374,4bf58dd8d48988d10e941735,Greek Restaurant
376,4edd64a0c7ddd24ca188df1a,Fish & Chips Shop
378,50327c8591d4c4b30a586d5d,Brewery
384,4bf58dd8d48988d176941735,Gym
386,52960bac3cf9994f4e043ac4,Romanian Restaurant
