,venue main category,main category id,Counts
37,French Restaurant,4bf58dd8d48988d10c941735,48
46,Hotel,4bf58dd8d48988d1fa931735,23
28,Coffee Shop,4bf58dd8d48988d1e0931735,19
6,Bakery,4bf58dd8d48988d16a941735,14
50,Italian Restaurant,4bf58dd8d48988d110941735,13
26,Clothing Store,4bf58dd8d48988d103951735,13
19,Café,4bf58dd8d48988d16d941735,12
51,Japanese Restaurant,4bf58dd8d48988d111941735,10
13,Boutique,4bf58dd8d48988d104951735,9
3,Art Gallery,4bf58dd8d48988d1e2931735,9
77,Plaza,4bf58dd8d48988d164941735,9
72,Pastry Shop,5744ccdfe4b0c0459246b4e2,8
27,Cocktail Bar,4bf58dd8d48988d11e941735,8
32,Creperie,52e81612bcbc57f1066b79f2,7
108,Wine Bar,4bf58dd8d48988d123941735,6
35,Dessert Shop,4bf58dd8d48988d1d0941735,6
24,Chocolate Shop,52f2ab2ebcbc57f1066b8b31,6
48,Ice Cream Shop,4bf58dd8d48988d1c9941735,6
7,Bar,4bf58dd8d48988d116941735,6
12,Bookstore,4bf58dd8d48988d114951735,6
84,Sandwich Place,4bf58dd8d48988d1c5941735,5
31,Cosmetics Shop,4bf58dd8d48988d10c951735,5
100,Tea Room,4bf58dd8d48988d1dc931735,5
81,Restaurant,4bf58dd8d48988d1c4941735,5
88,Shoe Store,4bf58dd8d48988d107951735,5
23,Chinese Restaurant,4bf58dd8d48988d145941735,5
76,Pizza Place,4bf58dd8d48988d1ca941735,5
11,Bistro,52e81612bcbc57f1066b79f1,5
17,Burger Joint,4bf58dd8d48988d16c941735,5
14,Brasserie,57558b36e4b065ecebd306b0,4
71,Park,4bf58dd8d48988d163941735,4
16,Breakfast Spot,4bf58dd8d48988d143941735,4
22,Cheese Shop,4bf58dd8d48988d11e951735,3
93,Speakeasy,4bf58dd8d48988d1d4941735,3
5,Asian Restaurant,4bf58dd8d48988d142941735,3
109,Wine Shop,4bf58dd8d48988d119951735,3
44,Gym / Fitness Center,4bf58dd8d48988d175941735,3
57,Korean Restaurant,4bf58dd8d48988d113941735,3
66,Museum,4bf58dd8d48988d181941735,3
55,Juice Bar,4bf58dd8d48988d112941735,2
53,Jewelry Store,4bf58dd8d48988d111951735,2
1,American Restaurant,4bf58dd8d48988d14e941735,2
111,Yoga Studio,4bf58dd8d48988d102941735,2
59,Lebanese Restaurant,58daa1558bbb0b01f18ec1cd,2
86,Seafood Restaurant,4bf58dd8d48988d1ce941735,2
63,Middle Eastern Restaurant,4bf58dd8d48988d115941735,2
64,Miscellaneous Shop,4bf58dd8d48988d1ff941735,2
73,Pedestrian Plaza,52e81612bcbc57f1066b7a25,2
74,Perfume Shop,52f2ab2ebcbc57f1066b8b23,2
75,Pharmacy,4bf58dd8d48988d10f951735,2
70,Paper / Office Supplies Store,4bf58dd8d48988d121951735,2
39,Gastropub,4bf58dd8d48988d155941735,2
47,Hotel Bar,4bf58dd8d48988d1d5941735,2
45,Historic Site,4deefb944765f83613cdba6e,2
92,Spa,4bf58dd8d48988d1ed941735,2
94,Steakhouse,4bf58dd8d48988d1cc941735,2
106,Vietnamese Restaurant,4bf58dd8d48988d14a941735,2
20,Candy Store,4bf58dd8d48988d117951735,2
97,Tailor Shop,5032781d91d4c4b30a586d5b,2
102,Theater,4bf58dd8d48988d137941735,2
101,Thai Restaurant,4bf58dd8d48988d149941735,2
90,Snack Place,4bf58dd8d48988d1c7941735,1
82,Salad Place,4bf58dd8d48988d1bd941735,1
110,Women's Store,4bf58dd8d48988d108951735,1
107,Waterfront,56aa371be4b08b9a8d5734c3,1
105,Video Game Store,4bf58dd8d48988d10b951735,1
104,Vegetarian / Vegan Restaurant,4bf58dd8d48988d1d3941735,1
103,Trail,4bf58dd8d48988d159941735,1
98,Tapas Restaurant,4bf58dd8d48988d1db931735,1
83,Salon / Barbershop,4bf58dd8d48988d110951735,1
99,Tattoo Parlor,4bf58dd8d48988d1de931735,1
91,South American Restaurant,4bf58dd8d48988d1cd941735,1
96,Sushi Restaurant,4bf58dd8d48988d1d2941735,1
85,Scenic Lookout,4bf58dd8d48988d165941735,1
79,Provençal Restaurant,57558b36e4b065ecebd306d7,1
87,Shanxi Restaurant,52af3b6e3cf9994f4e043c02,1
95,Supermarket,52f2ab2ebcbc57f1066b8b46,1
89,Shopping Plaza,5744ccdfe4b0c0459246b4dc,1
80,Pub,4bf58dd8d48988d11b941735,1
0,Accessories Store,4bf58dd8d48988d102951735,1
78,Portuguese Restaurant,4def73e84765ae376e57713a,1
69,Outlet Store,52f2ab2ebcbc57f1066b8b35,1
2,Argentinian Restaurant,4bf58dd8d48988d107941735,1
4,Arts & Crafts Store,4bf58dd8d48988d127951735,1
8,Beer Bar,56aa371ce4b08b9a8d57356c,1
9,Beer Store,5370f356bcbc57f1066c94c2,1
10,Belgian Restaurant,52e81612bcbc57f1066b7a02,1
15,Brazilian Restaurant,4bf58dd8d48988d16b941735,1
18,Butcher,4bf58dd8d48988d11d951735,1
21,Cantonese Restaurant,52af3a7c3cf9994f4e043bed,1
25,Circus,52e81612bcbc57f1066b79e7,1
29,Comic Shop,52f2ab2ebcbc57f1066b8b18,1
30,Corsican Restaurant,57558b36e4b065ecebd306d1,1
33,Cupcake Shop,4bf58dd8d48988d1bc941735,1
34,Department Store,4bf58dd8d48988d1f6941735,1
36,Farmers Market,4bf58dd8d48988d1fa941735,1
38,Furniture / Home Store,4bf58dd8d48988d1f8941735,1
40,Gay Bar,4bf58dd8d48988d1d8941735,1
41,Gluten-free Restaurant,4c2cd86ed066bed06c3c5209,1
42,Gourmet Shop,4bf58dd8d48988d1f5941735,1
43,Gym,4bf58dd8d48988d176941735,1
49,Israeli Restaurant,56aa371be4b08b9a8d573529,1
52,Jazz Club,4bf58dd8d48988d1e7931735,1
54,Jewish Restaurant,52e81612bcbc57f1066b79fd,1
58,Latin American Restaurant,4bf58dd8d48988d1be941735,1
60,Lounge,4bf58dd8d48988d121941735,1
61,Lyonese Bouchon,57558b35e4b065ecebd306ad,1
