,egg place venue name,egg place venue id,Arts & Entertainment,Asian Restaurant,Athletics & Sports,Bakery,Bar,Breakfast Spot,Café,Chinese Restaurant,Clothing Store,Coffee Shop,Creperie,Department Store,Dessert Shop,Food,Food & Drink Shop,French Restaurant,Hotel,Italian Restaurant,Japanese Restaurant,Nightlife Spot,Outdoors & Recreation,Pharmacy,Plaza,Restaurant,Shop & Service
0,Angelina,4adcda12f964a520543621e3,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.034482758620689655,0.1724137931034483,0.034482758620689655,0.0,0.0,0.06896551724137931,0.034482758620689655,0.0,0.1724137931034483,0.1724137931034483,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.034482758620689655,0.13793103448275862
1,Benedict,5293ae7d11d2fba382d9f652,0.06896551724137931,0.0,0.0,0.0,0.10344827586206896,0.0,0.034482758620689655,0.0,0.10344827586206896,0.0,0.0,0.0,0.20689655172413793,0.034482758620689655,0.0,0.13793103448275862,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.10344827586206896,0.13793103448275862
2,Biglove Caffè,583025d07ff1e43c19cd8599,0.06896551724137931,0.0,0.0,0.0,0.13793103448275862,0.0,0.034482758620689655,0.0,0.06896551724137931,0.10344827586206896,0.0,0.0,0.06896551724137931,0.13793103448275862,0.10344827586206896,0.034482758620689655,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.06896551724137931,0.10344827586206896
3,Café Marlette,53037fbb498e6f8b7ada68a3,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Café de Flore,4adcda04f964a520323221e3,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.13793103448275862,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.10344827586206896,0.06896551724137931,0.10344827586206896,0.06896551724137931,0.0,0.0,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.10344827586206896
5,Carette,4adcda14f964a5203a3721e3,0.13793103448275862,0.06896551724137931,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.1724137931034483,0.034482758620689655,0.20689655172413793,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.034482758620689655,0.034482758620689655
6,Claus - La table du petit-déjeuner,4de77728e4cdfedb8a9dad41,0.0625,0.0,0.0,0.0625,0.125,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.1875,0.0625,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
7,Eggs & Co,4cc9f623b878a093404b799a,0.034482758620689655,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.06896551724137931,0.034482758620689655,0.13793103448275862,0.0,0.0,0.0,0.06896551724137931,0.034482758620689655,0.0,0.10344827586206896,0.0,0.13793103448275862,0.06896551724137931,0.0,0.0,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.06896551724137931
8,Hardware Société,5710c77a498e3021c0641aa9,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.14285714285714285,0.0,0.19047619047619047,0.0,0.047619047619047616,0.0,0.0,0.09523809523809523,0.0,0.047619047619047616,0.14285714285714285,0.0
9,Holybelly 19,53f32591498e1cd3c3ec2555,0.0,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.11764705882352941,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0
