,egg place venue id,egg place venue name,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,4adcda12f964a520543621e3,Angelina,Clothing Store,French Restaurant,Hotel,Shop & Service,Japanese Restaurant,Bar,Dessert Shop,Food,Restaurant,Coffee Shop
1,5293ae7d11d2fba382d9f652,Benedict,Dessert Shop,French Restaurant,Shop & Service,Clothing Store,Bar,Restaurant,Arts & Entertainment,Nightlife Spot,Italian Restaurant,Food
2,583025d07ff1e43c19cd8599,Biglove Caffè,Bar,Food,Shop & Service,Food & Drink Shop,Coffee Shop,Clothing Store,Restaurant,Dessert Shop,Arts & Entertainment,Japanese Restaurant
3,53037fbb498e6f8b7ada68a3,Café Marlette,Dessert Shop,Creperie,Bakery,Breakfast Spot,Hotel,French Restaurant,Coffee Shop,,,
4,4adcda04f964a520323221e3,Café de Flore,Clothing Store,Shop & Service,Italian Restaurant,French Restaurant,Food,Restaurant,Plaza,Japanese Restaurant,Hotel,Asian Restaurant
5,4adcda14f964a5203a3721e3,Carette,French Restaurant,Food,Arts & Entertainment,Hotel,Plaza,Asian Restaurant,Bar,Café,Clothing Store,Coffee Shop
6,4de77728e4cdfedb8a9dad41,Claus - La table du petit-déjeuner,French Restaurant,Food,Bar,Shop & Service,Bakery,Chinese Restaurant,Clothing Store,Food & Drink Shop,Arts & Entertainment,
7,4cc9f623b878a093404b799a,Eggs & Co,Italian Restaurant,Clothing Store,French Restaurant,Shop & Service,Café,Restaurant,Dessert Shop,Japanese Restaurant,Plaza,Chinese Restaurant
8,5710c77a498e3021c0641aa9,Hardware Société,French Restaurant,Restaurant,Food,Outdoors & Recreation,Bar,Dessert Shop,Asian Restaurant,Bakery,Creperie,Arts & Entertainment
9,53f32591498e1cd3c3ec2555,Holybelly 19,Coffee Shop,Asian Restaurant,Bakery,French Restaurant,Food,Restaurant,Athletics & Sports,Breakfast Spot,Hotel,Chinese Restaurant
10,4bc5e23151b376b0ce8e1a6f,Ladurée,Shop & Service,Hotel,French Restaurant,Clothing Store,Restaurant,Athletics & Sports,Bakery,Breakfast Spot,Café,Chinese Restaurant
11,5116b70ce4b0d096ad258d22,Le Mary Céleste,Clothing Store,Shop & Service,Coffee Shop,Dessert Shop,Arts & Entertainment,Bar,Café,Italian Restaurant,Athletics & Sports,Bakery
12,524fef8411d29554626d9a1a,Le Pain Quotidien,French Restaurant,Dessert Shop,Creperie,Bakery,Breakfast Spot,Hotel,Coffee Shop,,,
13,4b1411c6f964a520c09c23e3,Le Saint-Régis,French Restaurant,Outdoors & Recreation,Creperie,Shop & Service,Restaurant,Food & Drink Shop,Dessert Shop,Italian Restaurant,Food,Bakery
14,4b8a4680f964a520a76632e3,Les Bonnes Sœurs,French Restaurant,Coffee Shop,Food,Shop & Service,Café,Restaurant,Food & Drink Shop,Bakery,Arts & Entertainment,Hotel
15,531499ec11d2a01b87e9e3a3,Paperboy,Bar,Shop & Service,Asian Restaurant,Bakery,Restaurant,Hotel,Food & Drink Shop,Arts & Entertainment,Food,Athletics & Sports
16,4b8a5057f964a520146832e3,Twinkie Breakfasts,Bar,French Restaurant,Plaza,Athletics & Sports,Japanese Restaurant,Food,Bakery,Clothing Store,Coffee Shop,Restaurant
