,point index,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,0,Shop & Service,Plaza,French Restaurant,Restaurant,,,,,,
1,1,,,,,,,,,,
2,9,French Restaurant,,,,,,,,,
3,10,French Restaurant,,,,,,,,,
4,12,Outdoors & Recreation,,,,,,,,,
5,15,Food,,,,,,,,,
6,16,Athletics & Sports,Italian Restaurant,,,,,,,,
7,17,Athletics & Sports,Bar,Italian Restaurant,French Restaurant,,,,,,
8,18,Athletics & Sports,Bar,French Restaurant,,,,,,,
9,19,Hotel,,,,,,,,,
10,20,Shop & Service,Plaza,French Restaurant,,,,,,,
11,29,Outdoors & Recreation,French Restaurant,,,,,,,,
12,30,Outdoors & Recreation,French Restaurant,,,,,,,,
13,31,Outdoors & Recreation,,,,,,,,,
14,36,Japanese Restaurant,Hotel,Food & Drink Shop,Food,,,,,,
15,37,French Restaurant,Plaza,Athletics & Sports,Food,,,,,,
16,38,French Restaurant,Athletics & Sports,Bakery,Bar,,,,,,
17,39,French Restaurant,Bar,,,,,,,,
18,40,Italian Restaurant,,,,,,,,,
19,41,Plaza,Hotel,Food & Drink Shop,,,,,,,
20,42,Plaza,Food & Drink Shop,,,,,,,,
21,45,Nightlife Spot,,,,,,,,,
22,46,Nightlife Spot,Restaurant,,,,,,,,
23,47,Restaurant,,,,,,,,,
24,48,Food,,,,,,,,,
25,49,Food,,,,,,,,,
26,51,Athletics & Sports,French Restaurant,,,,,,,,
27,52,Athletics & Sports,Outdoors & Recreation,French Restaurant,,,,,,,
28,58,Outdoors & Recreation,Hotel,French Restaurant,Food,Coffee Shop,,,,,
29,59,Bar,French Restaurant,Plaza,Japanese Restaurant,Hotel,,,,,
30,60,French Restaurant,Bar,Plaza,Bakery,Japanese Restaurant,Hotel,Food & Drink Shop,Food,Restaurant,Chinese Restaurant
31,61,French Restaurant,Bakery,Chinese Restaurant,Food & Drink Shop,Food,Restaurant,,,,
32,62,French Restaurant,Chinese Restaurant,,,,,,,,
33,63,Pharmacy,Italian Restaurant,,,,,,,,
34,64,Plaza,Italian Restaurant,French Restaurant,Food & Drink Shop,Chinese Restaurant,,,,,
35,65,French Restaurant,Plaza,Athletics & Sports,Chinese Restaurant,Food & Drink Shop,,,,,
36,66,French Restaurant,Plaza,,,,,,,,
37,67,Plaza,,,,,,,,,
38,68,Nightlife Spot,,,,,,,,,
39,69,Nightlife Spot,Restaurant,,,,,,,,
40,71,Food,,,,,,,,,
41,74,Athletics & Sports,French Restaurant,,,,,,,,
42,75,Athletics & Sports,French Restaurant,,,,,,,,
43,80,French Restaurant,Nightlife Spot,,,,,,,,
44,81,Food,,,,,,,,,
45,82,Bar,,,,,,,,,
